Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,
Ricardo Allen,,,O,O,,,,,,,,,,,29,CB,5250000
John Cominsky,,,,,,C19,C19,C19,C19,,,,,,25,DE,675000
Marlon Davidson,Q,D,,,,C19,C19,C19,,,,,,,22,DL,585294
Darqueze Dennard,,,,IR,IR,IR,IR,IR,IR,,,,,,29,CB,910000
Dante Fowler,,,Q,,,,,,O,C19,Q,,,,26,OLB,2000000
Todd Gurley,,,,,,,,,,,O,,,,26,RB,3500000
Charles Harris,O,O,,,,,,,,,,,,,25,DE,1943692
Jaylinn Hawkins,,,,,O,O,,,,,,,,,23,S,610000
Hayden Hurst,,,,,,,,,,,Q,,,,27,TE,1483275
Julio Jones,,,Q,Q,Q,,,,,,Q,,,,31,WR,11200000
Damontae Kazee,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Younghoe Koo,,,,O,,,,,,,,,,,26,K,750000
Jake Matthews,,Q,,,,,,,,,,,,,28,OT,3550000
Kaleb McGary,,,Q,,,,,,,,,,,,25,OL,961625
Takkarist McKinley,,,Q,O,,O,Q,O,O,,,,,,,,
Jordan Miller,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Keanu Neal,,,,O,,,,,,,,,,,25,FS,6466000
Foyesade Oluokun,,,Q,,,,,,,,,,,,25,S,750000
Calvin Ridley,,,,Q,,,,,Q,,,,,,26,WR,1470974
Kendall Sheffield,O,O,O,,,,,,,,,,,,24,CB,675000
Olamide Zaccheaus,,,,,,,,,,,IR,IR,IR,IR,,,
