Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Davante Adams,,,D,Q,,,,,,,,,,28,WR,12000000,Packers,2020
Montravius Adams,D,Q,,,Q,Q,,,,D,IR,IR,IR,,,,Packers,2020
Jaire Alexander,,,,Q,,,,,D,,,,,23,CB,1575522,Packers,2020
David Bakhtiari,,,,,,D,Q,Q,,,,,,29,OT,10500000,Packers,2020
Krys Barnes,,,,,,,,,C19,C19,C19,,,22,LB,610000,Packers,2020
James Burgess,,,,,,,,,,,IR,IR,IR,,,,Packers,2020
Kenny Clark,,O,Q,Q,,,,,,,,,,25,DT,1690000,Packers,2020
Mason Crosby,,,,,,,Q,,,,,,,36,K,1400000,Packers,2020
Josiah Deguara,,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2020
AJ Dillon,,,,,,,,C19,C19,C19,C19,C19,C19,22,RB,610000,Packers,2020
Kabion Ento,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2020
Tyler Ervin,,,,Q,O,O,Q,,,O,Q,,IR,,,,Packers,2020
Devin Funchess,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2020
Rashan Gary,,,,Q,Q,,,,,,,,,23,DL,1216696,Packers,2020
Raven Greene,Q,Q,,,,,Q,Q,,,,,,,,,Packers,2020
Ka'dar Hollman,,,,,,,,,,Q,,,,26,CB,675000,Packers,2020
Josh Jackson,,,,,,,,,,,Q,,,24,CB,1048736,Packers,2020
Elgton Jenkins,,,Q,,,,,,,,,,,25,OL,802597,Packers,2020
Aaron Jones,,,,,,Q,O,Q,,,,,,26,RB,2133000,Packers,2020
Kevin King,,,,,Q,D,O,O,Q,Q,Q,,,25,CB,1430575,Packers,2020
Christian Kirksey,,,,IR,IR,IR,IR,IR,IR,,,,,28,OLB,1750000,Packers,2020
Tyler Lancaster,,,,,,O,Q,,,,,,,26,DL,750000,Packers,2020
Allen Lazard,,,,IR,IR,IR,IR,IR,IR,Q,,,,25,WR,469118,Packers,2020
Marcedes Lewis,,,,D,,,,,,,,,,36,TE,1100000,Packers,2020
Corey Linsley,,,,Q,,Q,,,,,Q,IR,IR,,,,Packers,2020
Jordan Love,,,,,,,,C19,C19,,,,,22,QB,610000,Packers,2020
John Lovett,,,,,,,Q,,O,IR,IR,IR,IR,,,,Packers,2020
Kamal Martin,IR,IR,IR,IR,IR,IR,,C19,C19,,,,,22,LB,523527,Packers,2020
Parry Nickerson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2020
Lucas Patrick,,Q,,,,,,,,,,,,27,G,875000,Packers,2020
Randy Ramsey,O,O,D,,,,,,,,,,,25,LB,610000,Packers,2020
Will Redmond,,,,,,,,O,Q,Q,,,,27,CB,750000,Packers,2020
Darnell Savage Jr.,,,Q,,,D,Q,,,,,,,23,S,1063986,Packers,2020
JK Scott,,,,Q,,,,,,Q,,,,25,P,750000,Packers,2020
Vernon Scott,,,,,,,,O,Q,,,,,23,S,610000,Packers,2020
Darrius Shepherd,,,,,,,,,Q,Q,,,,,,,Packers,2020
Preston Smith,,,,,,Q,,,,,,,,28,DE,4350000,Packers,2020
Za'Darius Smith,,,,Q,Q,,,,,,,,,28,DE,2000000,Packers,2020
Equanimeous St. Brown,,O,,,,,,,Q,Q,Q,,,24,WR,616176,Packers,2020
Simon Stepaniak,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,OL,400000,Packers,2020
Lane Taylor,,O,,,,,,,,IR,,,,,,,Packers,2020
Patrick Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2020
Robert Tonyan,,,,,,Q,,,Q,,,,,26,TE,750000,Packers,2020
Billy Turner,D,Q,,,,,,,,,,,,29,OT,2200000,Packers,2020
Marquez Valdes-Scantling,,,,,,,,,,,Q,,,26,WR,750000,Packers,2020
Ricky Wagner,,,,,,,,Q,Q,,,,,31,OT,2250000,Packers,2020
Jamaal Williams,,,,,,,,C19,C19,,,,,25,RB,2133000,Packers,2020
Billy Winn,,,,,,,,,,,,,IR,,,,Packers,2020
