Player ,09/13vs. BUF,09/20vs. SFO,09/27vs. IND,10/01vs. DEN,10/11vs. ARI,10/18vs. MIA,10/25vs. BUF,11/01vs. KAN,11/09vs. NWE,11/22vs. LAC,11/29vs. MIA,12/06vs. LVR,12/13vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Josh Andrews,,,,,,,,Q,Q,,,,,68.0,29.0,G,13.0,2.0,298.0,2020-06-02,Oregon St.,1991-06-21,6,,,750000.0
Blessuan Austin,,,,,Q,Q,,,,Q,IR,IR,IR,31.0,24.0,CB,9.0,8.0,198.0,2020-06-01,Rutgers,1996-07-19,1,,New York Jets / 6th / 196th pick / 2019,675000.0
Tarell Basham,,Q,,,,,,,,,,,,93.0,26.0,DE,13.0,7.0,266.0,2020-06-04,Ohio,1994-03-18,3,,Indianapolis Colts / 3rd / 80th pick / 2017,825000.0
Mekhi Becton,,,,Q,D,D,Q,,,,,,,77.0,21.0,OL,11.0,10.0,364.0,2020-06-07,Louisville,1999-04-18,Rook,,New York Jets / 1st / 11th pick / 2020,610000.0
Le'Veon Bell,,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,,,Q,,,,,,,,,,,10.0,25.0,WR,13.0,2.0,190.0,2020-05-09,Miami (FL),1995-10-06,2,,New England Patriots / 6th / 210th pick / 2018,750000.0
Kyron Brown,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Blake Cashman,,IR,IR,IR,IR,IR,,O,O,D,Q,,,,,,,,,,,,,,,
Cameron Clark,IR,IR,IR,IR,IR,IR,IR,O,,,,,,72.0,23.0,OL,,,308.0,2020-06-04,Charlotte,1997-11-16,Rook,,New York Jets / 4th / 129th pick / 2020,535880.0
Jamison Crowder,,O,O,Q,,,Q,D,Q,,,,,82.0,27.0,WR,9.0,5.0,177.0,2020-05-09,Duke,1993-06-17,5,,Washington Redskins / 4th / 105th pick / 2015,8500000.0
