Player ,09/11vs. NOR,09/18vs. ATL,09/25vs. TEN,10/02vs. BAL,10/09vs. SDG,10/16vs. KAN,10/23vs. JAX,10/30vs. TAM,11/06vs. DEN,11/21vs. HOU,11/27vs. CAR,12/04vs. BUF,12/08vs. KAN,12/18vs. SDG,12/24vs. IND,01/01vs. DEN,01/07vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Vadal Alexander,,,,,,O,D,Q,Q,,,,,,,,,74.0,22.0,t,9.0,5.0,325.0,2020-06-05,LSU,1994-03-23,Rook,2.0,Oakland Raiders / 7th / 234th pick / 2016,469211.0
David Amerson,,,Q,,,,,,,,Q,Q,,,,,,29.0,25.0,LCB,15.0,15.0,212.0,2020-06-01,North Carolina St.,1991-12-08,3,5.0,Washington Redskins / 2nd / 51st pick / 2013,4050000.0
Neiron Ball,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shilique Calhoun,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derek Carr,,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,
Amari Cooper,,,,,,,,,Q,Q,,,,Q,Q,Q,Q,,,,,,,,,,,,,
James Cowser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Michael Crabtree,,,,,,,,,,,Q,Q,,Q,Q,Q,Q,15.0,29.0,WR,16.0,16.0,215.0,2020-06-01,Texas Tech,1987-09-14,7,8.0,San Francisco 49ers / 1st / 10th pick / 2009,11000000.0
Mario Edwards,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Jon Feliciano,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
D.J. Hayden,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ben Heeney,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gabe Holmes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Howard,O,,O,O,Q,,,,,,,,,,,,,77.0,29.0,RT,11.0,10.0,330.0,2020-06-07,Northern Iowa,1987-03-22,6,5.0,,5900000.0
Rodney Hudson,,Q,Q,Q,,,Q,,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,
Gabe Jackson,,Q,Q,,,,Q,,,,,,,,,,,66.0,25.0,RG,16.0,16.0,335.0,2020-06-03,Mississippi St.,1991-07-12,2,7.0,Oakland Raiders / 3rd / 81st pick / 2014,762844.0
Cory James,,,,,,,,,,,,,Q,,,,,57.0,23.0,mlb,16.0,5.0,235.0,2000-06-01,Colorado St.,1993-05-22,Rook,3.0,Oakland Raiders / 6th / 194th pick / 2016,483119.0
Taiwan Jones,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,
Karl Joseph,,,,,,,,,,,,,O,O,O,D,Q,42.0,23.0,SS,12.0,9.0,200.0,2020-05-10,West Virginia,1993-09-08,Rook,3.0,Oakland Raiders / 1st / 14th pick / 2016,2160785.0
Darius Latham,,,Q,,,,,,,,,O,Q,Q,,,,,,,,,,,,,,,,
Keith McGill,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Matt McGloin,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Jamize Olawale,,,,,,,,,Q,,,,,,,,,49.0,27.0,RB,16.0,7.0,240.0,2020-06-01,North Texas,1989-04-17,4,2.0,,2190000.0
Kelechi Osemele,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Donald Penn,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Jalen Richard,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Perry Riley,,,,,,,,,,,Q,Q,,Q,Q,Q,,54.0,28.0,MLB,11.0,11.0,238.0,2020-06-01,LSU,1988-05-03,6,4.0,Washington Redskins / 4th / 103rd pick / 2010,581176.0
Lee Smith,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sean Smith,,,,,,,,,Q,Q,,,,,,,,21.0,29.0,RCB,15.0,15.0,215.0,2020-06-02,Utah,1987-07-14,7,5.0,Miami Dolphins / 2nd / 61st pick / 2009,11000000.0
Clive Walford,,,,,Q,Q,,,,,,,,,,,,88.0,25.0,TE,15.0,8.0,252.0,2020-06-04,Miami (FL),1991-10-01,1,3.0,Oakland Raiders / 3rd / 68th pick / 2015,781126.0
Jihad Ward,,,Q,,,,,,,,,,,,,,,95.0,22.0,LDE,16.0,13.0,287.0,2020-06-05,Illinois,1994-05-11,Rook,5.0,Oakland Raiders / 2nd / 44th pick / 2016,1007236.0
Dan Williams,,,,,,,,,,,,,,,Q,,,90.0,29.0,RDT,16.0,11.0,330.0,2020-06-02,Tennessee,1987-06-01,6,4.0,Arizona Cardinals / 1st / 26th pick / 2010,7500000.0
